pattern,label
low blood pressure,BLOOD_PRESSURE
low bp,BLOOD_PRESSURE
high blood pressure,BLOOD_PRESSURE
high bp,BLOOD_PRESSURE
shortness of breath,LUNG_CONDITION
respiratory distress,LUNG_CONDITION
low oxygen saturation,LUNG_CONDITION
high respiratory rate,LUNG_CONDITION
bronchitis,LUNG_CONDITION
dyspnoea,LUNG_CONDITION
pneumonia,LUNG_CONDITION
wheezing,LUNG_CONDITION
trauma,TRAUMA
hypertension,HYPERTENSION
CHF,HEART_CONDITION
cough,LUNG_CONDITION
confusion,MENTAL_CONDITION
confused,MENTAL_CONDITION
incontinent,UTI
trachea,LUNG_CONDITION
trach,LUNG_CONDITION
sob ,LUNG_CONDITION
labs,LABS
complain,DISCOMFORT
bladder,UTI
COVID,COVID
COVID-19,COVID
inflammation,INFLAMMATION
catheter,CATHETER
Foley,CATHETER
blood sugar,DIABETES
insulin,DIABETES
mellitus,DIABETES
G-Tube,FEEDING_TUBE
gtube,FEEDING_TUBE
PEG,FEEDING_TUBE
morphine,PAIN_KILLER
lethargy,WEAKNESS
percocet,PAIN_KILLER
dialysis,KIDNEY_CONDITION
tenderness,INFLAMMATION
murmur,HEART_CONDITION
glucose,DIABETES
intravenous,IV
picc line,IV
IV,IV
sodium,SODIUM
mood,MENTAL_CONDITION
urinary,UTI
daughter,FAMILY_INVOLVEMENT
son,FAMILY_INVOLVEMENT
husband,FAMILY_INVOLVEMENT
wife,FAMILY_INVOLVEMENT
nephew,FAMILY_INVOLVEMENT
niece,FAMILY_INVOLVEMENT
appetite,APPETITE
eat,APPETITE
eaten,APPETITE
cannula,IV
dizziness,WEAKNESS
coumadin,BLOOD_THINNER
warfarin,BLOOD_THINNER
keppra,SEIZURE
depakote,SEIZURE
dysuria,UTI
sacral,PRESSURE_ULCER
syncope,BLOOD_PRESSURE
hematuria,HEMATURIA
paresthesia,NUMBNESS
palpitation,HEART_CONDITION
diabetic,DIABETES
numbness,NUMBNESS
dysphagia,DYSPHAGIA
swallowing,DYSPHAGIA
swollen,EDEMA
ankles,EDEMA
aerosol,LUNG_CONDITION
nebulizer,LUNG_CONDITION
ble,EDEMA
pitting,EDEMA
breakfast,APPETITE
lunch,APPETITE
dinner,APPETITE
snack,APPETITE
cardiac,HEART_CONDITION
isolation,INFECTION
infarction,HEART_CONDITION
congestive,HEART_CONDITION
SPO2,LUNG_CONDITION
O2,LUNG_CONDITION
pelvis,FALL
pelvic,FALL
hip,FALL
antibiotic,ANTIBIOTIC
abt,ANTIBIOTIC
UTI,UTI
ocycodone,PAIN_KILLER
cardiac,HEART_CONDITION
gabapentin,SEIZURE
colostomy,COLOSTOMY
pumonary,LUNG_CONDITION
fed,APPETITE
COPD,LUNG_CONDITION
psychatric,ALTERED_MENTAL_STATE
wheelchair,WHEELCHAIR
w/c,WHEELCHAIR
anemia,ANEMIA
cancer,CANCER
renal,KIDNEY_CONDITION
hepatic,LIVER_CONDITION
hepatoma,LIVER_CONDITION
hepatomegaly,LIVER_CONDITION
bile,LIVER_CONDITION
esrd,KIDNEY_CONDITION
ckd,KIDNEY_CONDITION
gfr,KIDNEY_CONDITION
esrf,KIDNEY_CONDITION
kidney,KIDNEY_CONDITION
liver,LIVER_CONDITION
lung,LUNG_CONDITION
heart,HEART_CONDITION
nephritis,KIDNEY_CONDITION
feeding tube,FEEDING_TUBE
enteral,FEEDING_TUBE
systolic,BLOOD_PRESSURE
diastolic,BLOOD_PRESSURE
PT/INR,BLOOD_THINNER
BMP,BASIC_METABOLIC_PANEL
stat,STAT
toileting,FALL
COPD,LUNG_CONDITION
disturbance,ALTERED_MENTAL_STATE
lisinopril,BLOOD_PRESSURE
albuterol,LUNG_CONDITION
mechanicallly,DYSPHAGIA
atrial,HEART_CONDITION
fibrilation,HEART_CONDITION
afib,HEART_CONDITION
anticoagulant,BLOOD_THINNER
amlodipine,BLOOD_PRESSURE
lasix,HEART_CONDITION
ventilator,VENTILATOR
vent ,VENTILATOR
BUN,KIDNEY_CONDITION
vascular,VASCULAR
erythromycin,ANTIBIOTIC
hypoxia,LUNG_CONDITION
CBC,LABS
xray,FALL
paranoid,ALTERED_MENTAL_STATE
hypotension,BLOOD_PRESSURE
coronary ,HEART_CONDITION
dressing,WOUND
neuropathy,DIABETES
floor,FALL
chest xray,LUNG_CONDITION
chest ,LUNG_CONDITION
